LocalTime,RPS,GET_Token_wCredentials,ACC_PUT_Flags,ACC_GET_Freebets,ACC_GET_Balance,ACC_GET_Limits_Dep,ACC_GET_Preferences,ACC_GET_Status,ACC_GET_Services,ACC_GET_Accounts,ACC_GET_Joint
1534344682224,0.9,0,0,0,0,0,0,0,0,0,0
1534344682224.0,0.9,686.0,0,0,0,0,0,0,0,0,0
1534344683224,0.9,0,0,0,0,0,0,0,0,0,0
1534344683924.0,0.9,0,845.0,0,0,0,0,0,0,0,0
1534344684224,0.9,0,0,0,0,0,0,0,0,0,0
1534344685224,0.9,0,0,0,0,0,0,0,0,0,0
1534344685224.0,0.9,823.0,0,0,0,0,0,0,0,0,0
1534344686224,0.9,0,0,0,0,0,0,0,0,0,0
1534344686304.0,0.9,0,0,286.0,0,0,0,0,0,0,0
1534344687224,0.9,0,0,0,0,0,0,0,0,0,0
1534344687506.0,0.9,0,0,0,422.0,0,0,0,0,0,0
1534344688224,0.9,0,0,0,0,0,0,0,0,0,0
1534344689224,0.9,0,0,0,0,0,0,0,0,0,0
1534344689224.0,0.9,621.0,0,0,0,0,0,0,0,0,0
1534344690224,0.9,0,0,0,0,0,0,0,0,0,0
1534344690304.0,0.9,0,0,292.0,0,0,0,0,0,0,0
1534344690506.0,0.9,0,0,0,394.0,0,0,0,0,0,0
1534344691224,0.9,0,0,0,0,0,0,0,0,0,0
1534344691304.0,0.85,0,0,432.0,0,0,0,0,0,0,0
1534344692224,0.8,0,0,0,0,0,0,0,0,0,0
1534344693224,0.9,0,0,0,0,0,0,0,0,0,0
1534344693224.0,0.933,930.0,0,0,0,0,0,0,0,0,0
1534344693506.0,0.967,0,0,0,611.0,0,0,0,0,0,0
1534344694224,1.0,0,0,0,0,0,0,0,0,0,0
1534344694304.0,1.05,0,0,255.0,0,0,0,0,0,0,0
1534344695224,1.1,0,0,0,0,0,0,0,0,0,0
1534344695506.0,1.067,0,0,0,416.0,0,0,0,0,0,0
1534344695776.0,1.033,0,0,0,0,377.0,0,0,0,0,0
1534344696224,1.0,0,0,0,0,0,0,0,0,0,0
1534344697224,1.2,0,0,0,0,0,0,0,0,0,0
1534344697224.0,1.2,741.0,0,0,0,0,0,0,0,0,0
1534344697506.0,1.2,0,0,0,265.9,0,0,0,0,0,0
1534344698224,1.2,0,0,0,0,0,0,0,0,0,0
1534344698506.0,1.3,0,0,0,412.65,0,0,0,0,0,0
1534344699224,1.4,0,0,0,0,0,0,0,0,0,0
1534344699506.0,1.3,0,0,0,257.0,0,0,0,0,0,0
1534344700224,1.2,0,0,0,0,0,0,0,0,0,0
1534344701224,1.2,0,0,0,0,0,0,0,0,0,0
1534344701224.0,1.3,802.0,0,0,0,0,0,0,0,0,0
1534344701776.0,1.4,0,0,0,0,368.0,0,0,0,0,0
1534344702224,1.5,0,0,0,0,0,0,0,0,0,0
1534344702593.0,1.5,0,0,0,0,0,262.0,0,0,0,0
1534344702664.0,1.5,0,0,0,0,0,0,238.0,0,0,0
1534344702776.0,1.5,0,0,0,0,388.0,0,0,0,0,0
1534344703224,1.5,0,0,0,0,0,0,0,0,0,0
1534344703304.0,1.5,0,0,444.0,0,0,0,0,0,0,0
1534344704224,1.5,0,0,0,0,0,0,0,0,0,0
1534344704506.0,1.45,0,0,0,240.0,0,0,0,0,0,0
1534344705224,1.4,0,0,0,0,0,0,0,0,0,0
1534344705224.0,1.5,1215.0,0,0,0,0,0,0,0,0,0
1534344705506.0,1.6,0,0,0,261.0,0,0,0,0,0,0
1534344706224,1.7,0,0,0,0,0,0,0,0,0,0
