LocalTime,RPS,GET_Token_wCredentials,HIST_GET_Bets_PENDING,HIST_GET_Transactions,HIST_GET_Bets_SETTLED,HIST_GET_$BetId,HIST_GET_$EventId
1534344682230,0.2,0,0,0,0,0,0
1534344682230.0,0.2,702.0,0,0,0,0,0
1534344683230,0.2,0,0,0,0,0,0
1534344683945.0,0.2,0,831.0,0,0,0,0
1534344684230,0.2,0,0,0,0,0,0
1534344685230,0.2,0,0,0,0,0,0
1534344686230,0.2,0,0,0,0,0,0
1534344687230,0.2,0,0,0,0,0,0
1534344688230,0.2,0,0,0,0,0,0
1534344689230,0.2,0,0,0,0,0,0
1534344690230,0.2,0,0,0,0,0,0
1534344691230,0.2,0,0,0,0,0,0
1534344692230,0.1,0,0,0,0,0,0
1534344692945.0,0.1,0,565.0,0,0,0,0
1534344693230,0.1,0,0,0,0,0,0
1534344694230,0.1,0,0,0,0,0,0
1534344695230,0.1,0,0,0,0,0,0
1534344696230,0.2,0,0,0,0,0,0
1534344696230.0,0.2,640.0,0,0,0,0,0
1534344697230,0.2,0,0,0,0,0,0
1534344697945.0,0.25,0,404.0,0,0,0,0
1534344698230,0.3,0,0,0,0,0,0
1534344699230,0.3,0,0,0,0,0,0
1534344700230,0.3,0,0,0,0,0,0
1534344701230,0.3,0,0,0,0,0,0
1534344702230,0.3,0,0,0,0,0,0
1534344703230,0.3,0,0,0,0,0,0
1534344703237.0,0.3,0,0,296.0,0,0,0
1534344704230,0.3,0,0,0,0,0,0
1534344705230,0.3,0,0,0,0,0,0
1534344706230,0.3,0,0,0,0,0,0
1534344706237.0,0.3,0,0,295.0,0,0,0
1534344707230,0.3,0,0,0,0,0,0
1534344708230,0.2,0,0,0,0,0,0
1534344709230,0.2,0,0,0,0,0,0
1534344710230,0.2,0,0,0,0,0,0
1534344711230,0.3,0,0,0,0,0,0
1534344711230.0,0.3,606.0,0,0,0,0,0
1534344712230,0.3,0,0,0,0,0,0
1534344712945.0,0.35,0,273.0,0,0,0,0
1534344713230,0.4,0,0,0,0,0,0
1534344713285.0,0.45,0,0,0,391.0,0,0
1534344714230,0.5,0,0,0,0,0,0
1534344714684.0,0.55,0,0,0,0,303.0,0
1534344715230,0.6,0,0,0,0,0,0
1534344715985.0,0.55,0,0,0,0,0,243.0
1534344716230,0.5,0,0,0,0,0,0
1534344717230,0.6,0,0,0,0,0,0
1534344717285.0,0.6,0,0,0,350.0,0,0
1534344718230,0.6,0,0,0,0,0,0
1534344719230,0.6,0,0,0,0,0,0
1534344720230,0.6,0,0,0,0,0,0
1534344721230,0.5,0,0,0,0,0,0
1534344721945.0,0.55,0,230.0,0,0,0,0
1534344722230,0.6,0,0,0,0,0,0
1534344723230,0.5,0,0,0,0,0,0
1534344723237.0,0.45,0,0,285.0,0,0,0
1534344724230,0.4,0,0,0,0,0,0
1534344725230,0.3,0,0,0,0,0,0
1534344726230,0.4,0,0,0,0,0,0
1534344726230.0,0.4,548.0,0,0,0,0,0
1534344727230,0.4,0,0,0,0,0,0
1534344727237.0,0.433,0,0,410.0,0,0,0
1534344727945.0,0.467,0,243.0,0,0,0,0
1534344728230,0.5,0,0,0,0,0,0
1534344729230,0.5,0,0,0,0,0,0
1534344730230,0.5,0,0,0,0,0,0
1534344731230,0.5,0,0,0,0,0,0
1534344732230,0.4,0,0,0,0,0,0
1534344733230,0.4,0,0,0,0,0,0
1534344733237.0,0.45,0,0,328.0,0,0,0
1534344734230,0.5,0,0,0,0,0,0
1534344734945.0,0.5,0,292.0,0,0,0,0
1534344735230,0.5,0,0,0,0,0,0
1534344736230,0.5,0,0,0,0,0,0
1534344736285.0,0.5,0,0,0,236.0,0,0
1534344737230,0.5,0,0,0,0,0,0
1534344737684.0,0.45,0,0,0,0,252.0,0
1534344738230,0.4,0,0,0,0,0,0
1534344739230,0.4,0,0,0,0,0,0
1534344739945.0,0.45,0,226.0,0,0,0,0
1534344740230,0.5,0,0,0,0,0,0
1534344741230,0.6,0,0,0,0,0,0
1534344741230.0,0.6,996.0,0,0,0,0,0
1534344742230,0.6,0,0,0,0,0,0
1534344743230,0.6,0,0,0,0,0,0
1534344743285.0,0.6,0,0,0,445.0,0,0
1534344744230,0.6,0,0,0,0,0,0
1534344744285.0,0.65,0,0,0,249.0,0,0
1534344745230,0.7,0,0,0,0,0,0
1534344745684.0,0.7,0,0,0,0,237.0,0
1534344745945.0,0.7,0,267.0,0,0,0,0
1534344746230,0.7,0,0,0,0,0,0
1534344747230,0.7,0,0,0,0,0,0
1534344747285.0,0.7,0,0,0,237.0,0,0
