LocalTime,RPS,HYD_GET_Home_Racing,HYD_GET_Register,HYDRA_GET_RacingScheduleTomorrow,HYD_GET_Home_Sports,HYD_GET_Betting_AustralianRules_AFL,HYDRA_GET_RacingScheduleToday
1534344681746,0.4,0,0,0,0,0,0
1534344681746.0,0.4,1125.0,0,0,0,0,0
1534344682746,0.4,0,0,0,0,0,0
1534344683746,0.4,0,0,0,0,0,0
1534344684746,0.4,0,0,0,0,0,0
1534344685746,0.4,0,0,0,0,0,0
1534344686535.0,0.4,0,83.0,0,0,0,0
1534344686746,0.4,0,0,0,0,0,0
1534344686746.0,0.4,522.0,0,0,0,0,0
1534344687746,0.4,0,0,0,0,0,0
1534344688746,0.4,0,0,0,0,0,0
1534344689746,0.4,0,0,0,0,0,0
1534344690746,0.4,0,0,0,0,0,0
1534344691493.0,0.4,0,0,1013.0,0,0,0
1534344691746,0.4,0,0,0,0,0,0
1534344691746.0,0.5,184.0,0,0,0,0,0
1534344692746,0.6,0,0,0,0,0,0
1534344692746.0,0.6,184.0,0,0,0,0,0
1534344693535.0,0.6,0,233.0,0,0,0,0
1534344693746,0.6,0,0,0,0,0,0
1534344694746,0.6,0,0,0,0,0,0
1534344695746,0.6,0,0,0,0,0,0
1534344696286.0,0.6,0,0,0,0,5905.0,0
1534344696746,0.6,0,0,0,0,0,0
1534344697234.0,0.633,0,0,0,1200.0,0,0
1534344697535.0,0.667,0,163.0,0,0,0,0
1534344697746,0.7,0,0,0,0,0,0
1534344698746,0.8,0,0,0,0,0,0
1534344698746.0,0.8,285.0,0,0,0,0,0
1534344699746,0.8,0,0,0,0,0,0
1534344700746,0.8,0,0,0,0,0,0
1534344701234.0,0.8,0,0,0,285.0,0,0
1534344701746,0.8,0,0,0,0,0,0
1534344702493.0,0.767,0,0,186.0,0,0,0
1534344702535.0,0.733,0,76.0,0,0,0,0
1534344702746,0.7,0,0,0,0,0,0
1534344703746,0.8,0,0,0,0,0,0
1534344704702.0,0.9,0,0,0,0,0,410.0
1534344704746,1.0,0,0,0,0,0,0
1534344704746.0,1.0,323.0,0,0,0,0,0
1534344705493.0,1.0,0,0,301.0,0,0,0
1534344705746,1.0,0,0,0,0,0,0
1534344706286.0,1.0,0,0,0,0,983.0,0
1534344706746,1.0,0,0,0,0,0,0
1534344707234.0,0.95,0,0,0,854.0,0,0
1534344707746,0.9,0,0,0,0,0,0
1534344708746,0.9,0,0,0,0,0,0
1534344708746.0,0.967,160.0,0,0,0,0,0
1534344709493.0,1.033,0,0,151.0,0,0,0
1534344709746,1.1,0,0,0,0,0,0
1534344709746.0,1.15,188.0,0,0,0,0,0
1534344710746,1.2,0,0,0,0,0,0
1534344711234.0,1.2,0,0,0,824.0,0,0
1534344711286.0,1.2,0,0,0,0,1715.0,0
1534344711535.0,1.2,0,69.0,0,0,0,0
1534344711746,1.2,0,0,0,0,0,0
1534344712746,1.1,0,0,0,0,0,0
1534344713234.0,1.1,0,0,0,221.0,0,0
1534344713746,1.1,0,0,0,0,0,0
1534344714535.0,1.1,0,68.0,0,0,0,0
1534344714702.0,1.1,0,0,0,0,0,187.0
1534344714746,1.1,0,0,0,0,0,0
1534344715702.0,1.15,0,0,0,0,0,173.0
1534344715746,1.2,0,0,0,0,0,0
1534344715746.0,1.233,212.0,0,0,0,0,0
1534344716535.0,1.267,0,84.0,0,0,0,0
1534344716746,1.3,0,0,0,0,0,0
1534344716746.0,1.35,878.0,0,0,0,0,0
1534344717746,1.4,0,0,0,0,0,0
1534344717746.0,1.433,373.0,0,0,0,0,0
1534344718535.0,1.467,0,56.0,0,0,0,0
1534344718746,1.5,0,0,0,0,0,0
1534344719234.0,1.4,0,0,0,423.0,0,0
1534344719746,1.3,0,0,0,0,0,0
1534344720234.0,1.3,0,0,0,267.0,0,0
1534344720746,1.3,0,0,0,0,0,0
1534344720746.0,1.333,237.0,0,0,0,0,0
1534344721535.0,1.367,0,72.0,0,0,0,0
1534344721746,1.4,0,0,0,0,0,0
1534344722286.0,1.5,0,0,0,0,1603.0,0
1534344722746,1.6,0,0,0,0,0,0
1534344722746.0,1.633,267.75,0,0,0,0,0
1534344723286.0,1.667,0,0,0,0,970.0,0
1534344723746,1.7,0,0,0,0,0,0
1534344724234.0,1.667,0,0,0,836.0,0,0
1534344724535.0,1.633,0,67.0,0,0,0,0
1534344724746,1.6,0,0,0,0,0,0
1534344725234.0,1.6,0,0,0,215.0,0,0
1534344725746,1.6,0,0,0,0,0,0
1534344726286.0,1.55,0,0,0,0,1672.0,0
1534344726746,1.5,0,0,0,0,0,0
1534344726746.0,1.533,157.0,0,0,0,0,0
1534344727702.0,1.567,0,0,0,0,0,353.6
1534344727746,1.6,0,0,0,0,0,0
1534344728535.0,1.65,0,55.0,0,0,0,0
1534344728746,1.7,0,0,0,0,0,0
1534344728746.0,1.733,258.3,0,0,0,0,0
1534344729234.0,1.767,0,0,0,689.0,0,0
1534344729746,1.8,0,0,0,0,0,0
1534344730702.0,1.85,0,0,0,0,0,292.0
1534344730746,1.9,0,0,0,0,0,0
1534344730746.0,1.85,246.0,0,0,0,0,0
1534344731746,1.8,0,0,0,0,0,0
1534344731746.0,1.8,145.0,0,0,0,0,0
1534344732286.0,1.8,0,0,0,0,914.0,0
1534344732746,1.8,0,0,0,0,0,0
1534344732746.0,1.85,195.0,0,0,0,0,0
1534344733746,1.9,0,0,0,0,0,0
1534344733746.0,1.95,251.35,0,0,0,0,0
1534344734234.0,2.0,0,0,0,414.0,0,0
1534344734702.0,2.05,0,0,0,0,0,243.0
1534344734746,2.1,0,0,0,0,0,0
1534344734746.0,2.067,221.0,0,0,0,0,0
1534344735535.0,2.033,0,51.0,0,0,0,0
1534344735746,2.0,0,0,0,0,0,0
1534344735746.0,2.033,230.0,0,0,0,0,0
1534344736702.0,2.067,0,0,0,0,0,233.0
1534344736746,2.1,0,0,0,0,0,0
1534344737746,2.1,0,0,0,0,0,0
1534344738286.0,2.1,0,0,0,0,1612.0,0
1534344738535.0,2.1,0,117.0,0,0,0,0
1534344738702.0,2.1,0,0,0,0,0,161.0
1534344738746,2.1,0,0,0,0,0,0
1534344738746.0,2.133,177.0,0,0,0,0,0
1534344739234.0,2.167,0,0,0,423.0,0,0
1534344739746,2.2,0,0,0,0,0,0
1534344739746.0,2.167,237.0,0,0,0,0,0
1534344740234.0,2.133,0,0,0,297.0,0,0
1534344740746,2.1,0,0,0,0,0,0
1534344741286.0,2.133,0,0,0,0,973.0,0
1534344741702.0,2.167,0,0,0,0,0,175.0
1534344741746,2.2,0,0,0,0,0,0
1534344741746.0,2.233,302.0,0,0,0,0,0
1534344742535.0,2.267,0,50.0,0,0,0,0
1534344742746,2.3,0,0,0,0,0,0
1534344743234.0,2.3,0,0,0,235.5,0,0
1534344743746,2.3,0,0,0,0,0,0
1534344743746.0,2.275,180.0,0,0,0,0,0
1534344744286.0,2.25,0,0,0,0,802.0,0
1534344744535.0,2.225,0,61.0,0,0,0,0
1534344744746,2.2,0,0,0,0,0,0
1534344744746.0,2.225,148.0,0,0,0,0,0
1534344745234.0,2.25,0,0,0,254.0,0,0
1534344745286.0,2.275,0,0,0,0,1017.0,0
1534344745746,2.3,0,0,0,0,0,0
1534344746234.0,2.3,0,0,0,289.7,0,0
1534344746746,2.3,0,0,0,0,0,0
1534344747234.0,2.3,0,0,0,194.0,0,0
