LocalTime,RPS,GET_Token_wCredentials,IDM_POST_RefreshToken,IDM_POST_Totp,IDM_POST_TotpStatus,IDM_POST_ResetPassword,IDM_POST_ContactOptions,IDM_POST_Oxitoken,IDM_POST_ChangePassword,IDM_POST_CheckUsername
1534344682230,0.5,0,0,0,0,0,0,0,0,0
1534344682230.0,0.5,666.0,0,0,0,0,0,0,0,0
1534344683230,0.5,0,0,0,0,0,0,0,0,0
1534344683904.0,0.5,0,428.0,0,0,0,0,0,0,0
1534344684230,0.5,0,0,0,0,0,0,0,0,0
1534344685230,0.5,0,0,0,0,0,0,0,0,0
1534344686230,0.5,0,0,0,0,0,0,0,0,0
1534344687230,0.5,0,0,0,0,0,0,0,0,0
1534344688230,0.5,0,0,0,0,0,0,0,0,0
1534344688230.0,0.5,713.0,0,0,0,0,0,0,0,0
1534344689230,0.5,0,0,0,0,0,0,0,0,0
1534344690230,0.5,0,0,0,0,0,0,0,0,0
1534344690383.0,0.5,0,0,512.0,0,0,0,0,0,0
1534344691230,0.5,0,0,0,0,0,0,0,0,0
1534344691915.0,0.45,0,0,0,416.0,0,0,0,0,0
1534344692230,0.4,0,0,0,0,0,0,0,0,0
1534344693230,0.4,0,0,0,0,0,0,0,0,0
1534344693324.0,0.45,0,0,0,0,848.0,0,0,0,0
1534344694230,0.5,0,0,0,0,0,0,0,0,0
1534344695172.0,0.55,0,0,0,0,0,505.0,0,0,0
1534344695230,0.6,0,0,0,0,0,0,0,0,0
1534344695230.0,0.6,558.0,0,0,0,0,0,0,0,0
1534344696230,0.6,0,0,0,0,0,0,0,0,0
1534344697230,0.7,0,0,0,0,0,0,0,0,0
1534344697235.0,0.65,0,0,0,0,0,0,253.0,0,0
1534344698230,0.6,0,0,0,0,0,0,0,0,0
1534344699230,0.6,0,0,0,0,0,0,0,0,0
1534344700230,0.5,0,0,0,0,0,0,0,0,0
1534344701230,0.4,0,0,0,0,0,0,0,0,0
1534344702230,0.5,0,0,0,0,0,0,0,0,0
1534344702230.0,0.45,557.0,0,0,0,0,0,0,0,0
1534344703230,0.4,0,0,0,0,0,0,0,0,0
1534344704230,0.4,0,0,0,0,0,0,0,0,0
1534344704242.0,0.35,0,0,0,0,0,0,0,601.0,0
1534344705230,0.3,0,0,0,0,0,0,0,0,0
1534344706230,0.3,0,0,0,0,0,0,0,0,0
1534344707230,0.2,0,0,0,0,0,0,0,0,0
1534344708230,0.2,0,0,0,0,0,0,0,0,0
1534344709230,0.3,0,0,0,0,0,0,0,0,0
1534344709230.0,0.3,597.0,0,0,0,0,0,0,0,0
1534344710230,0.3,0,0,0,0,0,0,0,0,0
1534344711172.0,0.35,0,0,0,0,0,390.0,0,0,0
1534344711230,0.4,0,0,0,0,0,0,0,0,0
1534344712230,0.3,0,0,0,0,0,0,0,0,0
1534344713230,0.3,0,0,0,0,0,0,0,0,0
1534344714230,0.2,0,0,0,0,0,0,0,0,0
1534344715230,0.2,0,0,0,0,0,0,0,0,0
1534344716230,0.3,0,0,0,0,0,0,0,0,0
1534344716230.0,0.3,605.0,0,0,0,0,0,0,0,0
1534344717230,0.3,0,0,0,0,0,0,0,0,0
1534344717904.0,0.35,0,399.0,0,0,0,0,0,0,0
1534344718230,0.4,0,0,0,0,0,0,0,0,0
1534344719230,0.3,0,0,0,0,0,0,0,0,0
1534344720230,0.3,0,0,0,0,0,0,0,0,0
1534344721230,0.2,0,0,0,0,0,0,0,0,0
1534344722230,0.2,0,0,0,0,0,0,0,0,0
1534344723230,0.3,0,0,0,0,0,0,0,0,0
1534344723230.0,0.3,623.0,0,0,0,0,0,0,0,0
1534344724230,0.3,0,0,0,0,0,0,0,0,0
1534344725230,0.4,0,0,0,0,0,0,0,0,0
1534344725235.0,0.35,0,0,0,0,0,0,245.0,0,0
1534344726230,0.3,0,0,0,0,0,0,0,0,0
1534344727230,0.3,0,0,0,0,0,0,0,0,0
1534344728230,0.2,0,0,0,0,0,0,0,0,0
1534344729230,0.2,0,0,0,0,0,0,0,0,0
1534344730230,0.3,0,0,0,0,0,0,0,0,0
1534344730230.0,0.3,617.0,0,0,0,0,0,0,0,0
1534344731230,0.3,0,0,0,0,0,0,0,0,0
1534344732230,0.4,0,0,0,0,0,0,0,0,0
1534344732324.0,0.35,0,0,0,0,0,0,0,0,370.0
1534344733230,0.3,0,0,0,0,0,0,0,0,0
1534344734230,0.3,0,0,0,0,0,0,0,0,0
1534344735230,0.2,0,0,0,0,0,0,0,0,0
1534344736230,0.2,0,0,0,0,0,0,0,0,0
1534344737230,0.3,0,0,0,0,0,0,0,0,0
1534344737230.0,0.3,609.0,0,0,0,0,0,0,0,0
1534344738230,0.3,0,0,0,0,0,0,0,0,0
1534344739230,0.4,0,0,0,0,0,0,0,0,0
1534344739235.0,0.35,0,0,0,0,0,0,264.0,0,0
1534344740230,0.3,0,0,0,0,0,0,0,0,0
1534344741230,0.3,0,0,0,0,0,0,0,0,0
1534344742230,0.2,0,0,0,0,0,0,0,0,0
1534344743230,0.2,0,0,0,0,0,0,0,0,0
1534344744230,0.3,0,0,0,0,0,0,0,0,0
1534344744230.0,0.3,646.0,0,0,0,0,0,0,0,0
1534344745230,0.3,0,0,0,0,0,0,0,0,0
1534344746172.0,0.35,0,0,0,0,0,515.0,0,0,0
1534344746230,0.4,0,0,0,0,0,0,0,0,0
