LocalTime,RPS,IDM_POST_Register,GET_Token_wCredentials,ACC_POST_Limits,WLT_POST_Creditcards,WLT_POST_Creditcards_$PayMethodId_Deposit
1534344682257,0.6,0,0,0,0,0
1534344682257.0,0.6,1184.0,0,0,0,0
1534344683257,0.6,0,0,0,0,0
1534344684257,0.6,0,0,0,0,0
1534344684456.0,0.6,0,548.0,0,0,0
1534344685257,0.6,0,0,0,0,0
1534344686004.0,0.6,0,0,646.0,0,0
1534344686257,0.6,0,0,0,0,0
1534344687257,0.6,0,0,0,0,0
1534344687663.0,0.6,0,0,0,504.0,0
1534344688257,0.6,0,0,0,0,0
1534344689152.0,0.6,0,0,0,0,2071.0
1534344689257,0.6,0,0,0,0,0
1534344690257,0.6,0,0,0,0,0
1534344691257,0.6,0,0,0,0,0
1534344692152.0,0.55,0,0,0,0,2198.0
1534344692257,0.5,0,0,0,0,0
1534344693257,0.5,0,0,0,0,0
1534344694257,0.4,0,0,0,0,0
1534344695152.0,0.4,0,0,0,0,2051.0
1534344695257,0.4,0,0,0,0,0
1534344696257,0.4,0,0,0,0,0
1534344697257,0.3,0,0,0,0,0
1534344698152.0,0.3,0,0,0,0,2015.0
1534344698257,0.3,0,0,0,0,0
1534344699257,0.3,0,0,0,0,0
1534344700257,0.3,0,0,0,0,0
1534344701152.0,0.3,0,0,0,0,2068.0
1534344701257,0.3,0,0,0,0,0
1534344702257,0.3,0,0,0,0,0
1534344703257,0.3,0,0,0,0,0
1534344704152.0,0.4,0,0,0,0,1449.0
1534344704257,0.5,0,0,0,0,0
1534344704257.0,0.45,1511.0,0,0,0,0
1534344705257,0.4,0,0,0,0,0
1534344706152.0,0.45,0,0,0,0,2038.0
1534344706257,0.5,0,0,0,0,0
1534344706456.0,0.55,0,469.0,0,0,0
1534344707257,0.6,0,0,0,0,0
1534344708004.0,0.6,0,0,421.0,0,0
1534344708257,0.6,0,0,0,0,0
1534344709152.0,0.7,0,0,0,0,1963.0
1534344709257,0.8,0,0,0,0,0
1534344709663.0,0.8,0,0,0,331.0,0
1534344710257,0.8,0,0,0,0,0
1534344711152.0,0.8,0,0,0,0,1835.0
1534344711257,0.8,0,0,0,0,0
1534344712152.0,0.85,0,0,0,0,1807.0
1534344712257,0.9,0,0,0,0,0
1534344713257,0.9,0,0,0,0,0
1534344714152.0,0.85,0,0,0,0,1815.0
1534344714257,0.8,0,0,0,0,0
1534344715257,0.8,0,0,0,0,0
1534344716152.0,0.8,0,0,0,0,2091.0
1534344716257,0.8,0,0,0,0,0
1534344717257,0.7,0,0,0,0,0
1534344718257,0.6,0,0,0,0,0
1534344719257,0.5,0,0,0,0,0
1534344720152.0,0.5,0,0,0,0,1826.0
1534344720257,0.5,0,0,0,0,0
1534344721257,0.4,0,0,0,0,0
1534344722152.0,0.4,0,0,0,0,1395.0
1534344722257,0.4,0,0,0,0,0
1534344723257,0.4,0,0,0,0,0
1534344724257,0.3,0,0,0,0,0
1534344725152.0,0.35,0,0,0,0,1856.0
1534344725257,0.4,0,0,0,0,0
1534344726257,0.3,0,0,0,0,0
1534344727257,0.5,0,0,0,0,0
1534344727257.0,0.5,875.0,0,0,0,0
1534344728152.0,0.5,0,0,0,0,1762.0
1534344728257,0.5,0,0,0,0,0
1534344729257,0.5,0,0,0,0,0
1534344729456.0,0.533,0,747.0,0,0,0
1534344730152.0,0.567,0,0,0,0,1413.0
1534344730257,0.6,0,0,0,0,0
1534344731004.0,0.65,0,0,415.0,0,0
1534344731257,0.7,0,0,0,0,0
1534344732257,0.7,0,0,0,0,0
1534344732663.0,0.767,0,0,0,338.0,0
1534344733152.0,0.833,0,0,0,0,1878.9
1534344733257,0.9,0,0,0,0,0
1534344734257,0.9,0,0,0,0,0
1534344735257,0.8,0,0,0,0,0
1534344736152.0,0.85,0,0,0,0,1408.0
1534344736257,0.9,0,0,0,0,0
1534344737257,0.7,0,0,0,0,0
1534344738152.0,0.75,0,0,0,0,1835.0
1534344738257,0.8,0,0,0,0,0
1534344739257,0.7,0,0,0,0,0
1534344740257,0.6,0,0,0,0,0
1534344741152.0,0.6,0,0,0,0,1858.0
1534344741257,0.6,0,0,0,0,0
1534344742257,0.5,0,0,0,0,0
1534344743257,0.3,0,0,0,0,0
1534344744152.0,0.35,0,0,0,0,1850.0
1534344744257,0.4,0,0,0,0,0
