LocalTime,Users,GET_Token_wCredentials,SBR_GET_Events_$EventID_Racecard,BET_PUT_Combinations_Racing,SBS_GET_Events_$EventId_SportCard,BET_POST_Bets_Win_Racing,SBS_GET_Events_$EventId_MarketGroupings_$MarketGrouping_Markets,BET_POST_Bets_Win_Sport,BET_POST_Bets_Quinella
1534344682221,1.0,0,0,0,0,0,0,0,0
1534344682227.0,1.0,780.0,0,0,0,0,0,0,0
1534344683221,1.0,0,0,0,0,0,0,0,0
1534344684026.0,1.0,0,498.0,0,0,0,0,0,0
1534344684221,1.0,0,0,0,0,0,0,0,0
1534344685221,2.0,0,0,0,0,0,0,0,0
1534344685227.0,2.0,768.0,0,0,0,0,0,0,0
1534344685514.0,2.0,0,0,843.0,0,0,0,0,0
1534344686221,2.0,0,0,0,0,0,0,0,0
1534344687026.0,2.0,0,264.0,0,0,0,0,0,0
1534344687221,2.0,0,0,0,0,0,0,0,0
1534344687465.0,2.0,0,0,0,719.0,0,0,0,0
1534344688221,2.0,0,0,0,0,0,0,0,0
1534344688636.0,2.333,0,0,0,0,779.0,0,0,0
1534344689186.0,2.667,0,0,0,0,0,319.0,0,0
1534344689221,3.0,0,0,0,0,0,0,0,0
1534344689227.0,3.0,775.0,0,0,0,0,0,0,0
1534344690026.0,3.0,0,124.0,0,0,0,0,0,0
1534344690221,3.0,0,0,0,0,0,0,0,0
1534344690508.0,3.0,0,0,0,0,0,0,947.0,0
1534344691026.0,3.0,0,126.0,0,0,0,0,0,0
1534344691221,3.0,0,0,0,0,0,0,0,0
1534344691514.0,3.0,0,0,506.0,0,0,0,0,0
1534344692026.0,3.0,0,126.0,0,0,0,0,0,0
1534344692221,3.0,0,0,0,0,0,0,0,0
1534344692514.0,3.5,0,0,894.0,0,0,0,0,0
1534344693221,4.0,0,0,0,0,0,0,0,0
1534344693227.0,4.0,1022.0,0,0,0,0,0,0,0
1534344693514.0,4.0,0,0,1470.0,0,0,0,0,0
1534344694026.0,4.0,0,127.0,0,0,0,0,0,0
1534344694221,4.0,0,0,0,0,0,0,0,0
1534344695026.0,4.0,0,127.85,0,0,0,0,0,0
1534344695221,4.0,0,0,0,0,0,0,0,0
1534344695514.0,4.0,0,0,789.2,0,0,0,0,0
1534344696026.0,4.0,0,121.0,0,0,0,0,0,0
1534344696221,4.0,0,0,0,0,0,0,0,0
1534344696514.0,4.5,0,0,873.25,0,0,0,0,0
1534344697221,5.0,0,0,0,0,0,0,0,0
