LocalTime,Users,GET_Token_wCredentials,BB_GET_Favourites
1534344681743,1.0,0,0
1534344681784.0,1.0,1049.0,0
1534344682743,1.0,0,0
1534344683743,1.0,0,0
1534344683853.0,1.0,0,653.0
1534344684743,1.0,0,0
1534344685743,1.0,0,0
1534344686743,1.0,0,0
1534344687743,1.0,0,0
1534344688743,1.0,0,0
1534344689743,1.0,0,0
1534344690743,1.0,0,0
1534344691743,1.0,0,0
1534344692743,1.0,0,0
1534344693743,1.0,0,0
1534344694743,1.0,0,0
1534344695743,1.0,0,0
1534344696743,1.0,0,0
1534344697743,1.0,0,0
1534344697853.0,1.0,0,272.0
1534344698743,1.0,0,0
1534344699743,1.0,0,0
1534344700743,1.0,0,0
1534344701743,2.0,0,0
1534344701784.0,2.0,783.0,0
1534344702743,2.0,0,0
1534344703743,2.0,0,0
1534344703853.0,2.0,0,429.0
1534344704743,2.0,0,0
1534344705743,2.0,0,0
1534344706743,2.0,0,0
1534344707743,2.0,0,0
1534344708743,2.0,0,0
1534344709743,2.0,0,0
1534344710743,2.0,0,0
1534344711743,2.0,0,0
1534344712743,2.0,0,0
1534344712853.0,2.0,0,254.0
1534344713743,2.0,0,0
1534344714743,2.0,0,0
1534344715743,2.0,0,0
1534344716743,2.0,0,0
1534344717743,2.0,0,0
1534344718743,2.0,0,0
1534344718853.0,2.0,0,252.0
1534344719743,2.0,0,0
1534344720743,2.0,0,0
1534344721743,2.0,0,0
1534344722743,3.0,0,0
1534344722784.0,3.0,810.0,0
1534344723743,3.0,0,0
1534344724743,3.0,0,0
1534344724853.0,3.0,0,421.0
1534344725743,3.0,0,0
1534344726743,3.0,0,0
1534344727743,3.0,0,0
1534344728743,3.0,0,0
1534344729743,3.0,0,0
1534344729853.0,3.0,0,264.0
1534344730743,3.0,0,0
1534344731743,3.0,0,0
1534344732743,3.0,0,0
1534344733743,3.0,0,0
1534344733853.0,3.0,0,264.0
1534344734743,3.0,0,0
1534344735743,3.0,0,0
1534344736743,3.0,0,0
1534344737743,3.0,0,0
1534344738743,3.0,0,0
1534344739743,3.0,0,0
1534344740743,3.0,0,0
1534344740853.0,3.0,0,254.0
1534344741743,3.0,0,0
1534344742743,3.0,0,0
1534344743743,4.0,0,0
1534344743784.0,4.0,719.0,0
1534344744853.0,4.0,0,361.0
1534344745853.0,4.0,0,263.0
