LocalTime,Users,GET_Token_wCredentials,IDM_POST_RefreshToken,IDM_POST_Totp,IDM_POST_TotpStatus,IDM_POST_ResetPassword,IDM_POST_ContactOptions,IDM_POST_Oxitoken,IDM_POST_ChangePassword,IDM_POST_CheckUsername
1534344682227,1.0,0,0,0,0,0,0,0,0,0
1534344682230.0,1.0,666.0,0,0,0,0,0,0,0,0
1534344683227,1.0,0,0,0,0,0,0,0,0,0
1534344683904.0,1.0,0,428.0,0,0,0,0,0,0,0
1534344684227,1.0,0,0,0,0,0,0,0,0,0
1534344685227,1.0,0,0,0,0,0,0,0,0,0
1534344686227,1.0,0,0,0,0,0,0,0,0,0
1534344687227,1.0,0,0,0,0,0,0,0,0,0
1534344688227,2.0,0,0,0,0,0,0,0,0,0
1534344688230.0,2.0,713.0,0,0,0,0,0,0,0,0
1534344689227,2.0,0,0,0,0,0,0,0,0,0
1534344690227,2.0,0,0,0,0,0,0,0,0,0
1534344690383.0,2.0,0,0,512.0,0,0,0,0,0,0
1534344691227,2.0,0,0,0,0,0,0,0,0,0
1534344691915.0,2.0,0,0,0,416.0,0,0,0,0,0
1534344692227,2.0,0,0,0,0,0,0,0,0,0
1534344693227,2.0,0,0,0,0,0,0,0,0,0
1534344693324.0,2.0,0,0,0,0,848.0,0,0,0,0
1534344694227,2.0,0,0,0,0,0,0,0,0,0
1534344695172.0,2.5,0,0,0,0,0,505.0,0,0,0
1534344695227,3.0,0,0,0,0,0,0,0,0,0
1534344695230.0,3.0,558.0,0,0,0,0,0,0,0,0
1534344696227,3.0,0,0,0,0,0,0,0,0,0
1534344697227,3.0,0,0,0,0,0,0,0,0,0
1534344697235.0,3.0,0,0,0,0,0,0,253.0,0,0
1534344698227,3.0,0,0,0,0,0,0,0,0,0
1534344699227,3.0,0,0,0,0,0,0,0,0,0
1534344700227,3.0,0,0,0,0,0,0,0,0,0
1534344701227,3.0,0,0,0,0,0,0,0,0,0
1534344702227,4.0,0,0,0,0,0,0,0,0,0
1534344702230.0,4.0,557.0,0,0,0,0,0,0,0,0
1534344703227,4.0,0,0,0,0,0,0,0,0,0
1534344704227,4.0,0,0,0,0,0,0,0,0,0
1534344704242.0,4.0,0,0,0,0,0,0,0,601.0,0
1534344705227,4.0,0,0,0,0,0,0,0,0,0
1534344706227,4.0,0,0,0,0,0,0,0,0,0
1534344707227,4.0,0,0,0,0,0,0,0,0,0
1534344708227,4.0,0,0,0,0,0,0,0,0,0
1534344709227,5.0,0,0,0,0,0,0,0,0,0
1534344709230.0,5.0,597.0,0,0,0,0,0,0,0,0
1534344710227,5.0,0,0,0,0,0,0,0,0,0
1534344711172.0,5.0,0,0,0,0,0,390.0,0,0,0
1534344711227,5.0,0,0,0,0,0,0,0,0,0
1534344712227,5.0,0,0,0,0,0,0,0,0,0
1534344713227,5.0,0,0,0,0,0,0,0,0,0
1534344714227,5.0,0,0,0,0,0,0,0,0,0
1534344715227,5.0,0,0,0,0,0,0,0,0,0
1534344716227,6.0,0,0,0,0,0,0,0,0,0
1534344716230.0,6.0,605.0,0,0,0,0,0,0,0,0
1534344717227,6.0,0,0,0,0,0,0,0,0,0
1534344717904.0,6.0,0,399.0,0,0,0,0,0,0,0
1534344718227,6.0,0,0,0,0,0,0,0,0,0
1534344719227,6.0,0,0,0,0,0,0,0,0,0
1534344720227,6.0,0,0,0,0,0,0,0,0,0
1534344721227,6.0,0,0,0,0,0,0,0,0,0
1534344722227,6.0,0,0,0,0,0,0,0,0,0
1534344723227,7.0,0,0,0,0,0,0,0,0,0
1534344723230.0,7.0,623.0,0,0,0,0,0,0,0,0
1534344724227,7.0,0,0,0,0,0,0,0,0,0
1534344725227,7.0,0,0,0,0,0,0,0,0,0
1534344725235.0,7.0,0,0,0,0,0,0,245.0,0,0
1534344726227,7.0,0,0,0,0,0,0,0,0,0
1534344727227,7.0,0,0,0,0,0,0,0,0,0
1534344728227,7.0,0,0,0,0,0,0,0,0,0
1534344729227,7.0,0,0,0,0,0,0,0,0,0
1534344730227,8.0,0,0,0,0,0,0,0,0,0
1534344730230.0,8.0,617.0,0,0,0,0,0,0,0,0
1534344731227,8.0,0,0,0,0,0,0,0,0,0
1534344732227,8.0,0,0,0,0,0,0,0,0,0
1534344732324.0,8.0,0,0,0,0,0,0,0,0,370.0
1534344733227,8.0,0,0,0,0,0,0,0,0,0
1534344734227,8.0,0,0,0,0,0,0,0,0,0
1534344735227,8.0,0,0,0,0,0,0,0,0,0
1534344736227,8.0,0,0,0,0,0,0,0,0,0
1534344737227,9.0,0,0,0,0,0,0,0,0,0
1534344737230.0,9.0,609.0,0,0,0,0,0,0,0,0
1534344738227,9.0,0,0,0,0,0,0,0,0,0
1534344739227,9.0,0,0,0,0,0,0,0,0,0
1534344739235.0,9.0,0,0,0,0,0,0,264.0,0,0
1534344740227,9.0,0,0,0,0,0,0,0,0,0
1534344741227,9.0,0,0,0,0,0,0,0,0,0
1534344742227,9.0,0,0,0,0,0,0,0,0,0
1534344743227,9.0,0,0,0,0,0,0,0,0,0
1534344744227,10.0,0,0,0,0,0,0,0,0,0
1534344744230.0,10.0,646.0,0,0,0,0,0,0,0,0
1534344746172.0,10.0,0,0,0,0,0,515.0,0,0,0
