LocalTime,Users,SBR_GET_NextEvents,SBR_GET_Events_$EventID_RacecardWithContext,SBR_GET_Events_Racecards,SBR_GET_AllRacing_$RaceDay,SBR_GET_FeaturedEvents
1534344682224,1.0,0,0,0,0,0
1534344682226.0,1.0,377.0,0,0,0,0
1534344683224,1.0,0,0,0,0,0
1534344684224,1.0,0,0,0,0,0
1534344685224,2.0,0,0,0,0,0
1534344685226.0,2.0,246.0,0,0,0,0
1534344686224,2.0,0,0,0,0,0
1534344686926.0,2.0,0,783.0,0,0,0
1534344687224,2.0,0,0,0,0,0
1534344688224,2.0,0,0,0,0,0
1534344689224,3.0,0,0,0,0,0
1534344689226.0,3.0,220.3,0,0,0,0
1534344689926.0,3.0,0,126.0,0,0,0
1534344690224,3.0,0,0,0,0,0
1534344691224,3.0,0,0,0,0,0
1534344691226.0,3.0,113.0,0,0,0,0
1534344692224,3.0,0,0,0,0,0
1534344692926.0,3.5,0,1693.0,0,0,0
1534344693224,4.0,0,0,0,0,0
1534344693226.0,4.0,257.0,0,0,0,0
1534344694224,4.0,0,0,0,0,0
1534344694973.0,4.0,0,0,353.0,0,0
1534344695224,4.0,0,0,0,0,0
1534344695226.0,4.0,111.0,0,0,0,0
1534344696224,4.0,0,0,0,0,0
1534344696226.0,4.5,118.0,0,0,0,0
1534344697224,5.0,0,0,0,0,0
1534344697226.0,5.0,223.0,0,0,0,0
1534344698224,5.0,0,0,0,0,0
1534344698226.0,5.0,110.0,0,0,0,0
1534344699224,5.0,0,0,0,0,0
1534344700224,5.0,0,0,0,0,0
1534344700226.0,5.333,113.0,0,0,0,0
1534344700926.0,5.667,0,749.0,0,0,0
1534344701224,6.0,0,0,0,0,0
1534344701226.0,6.0,229.0,0,0,0,0
1534344702224,6.0,0,0,0,0,0
1534344702226.0,6.0,115.7,0,0,0,0
1534344702926.0,6.0,0,349.0,0,0,0
1534344703224,6.0,0,0,0,0,0
1534344703226.0,6.0,113.0,0,0,0,0
1534344704224,6.0,0,0,0,0,0
1534344704226.0,6.333,112.0,0,0,0,0
1534344704926.0,6.667,0,546.0,0,0,0
1534344705224,7.0,0,0,0,0,0
1534344705226.0,7.0,272.0,0,0,0,0
1534344706224,7.0,0,0,0,0,0
1534344707224,7.0,0,0,0,0,0
1534344707226.0,7.0,108.0,0,0,0,0
1534344707926.0,7.0,0,614.0,0,0,0
1534344708224,7.0,0,0,0,0,0
1534344708226.0,7.333,108.0,0,0,0,0
1534344708926.0,7.667,0,412.0,0,0,0
1534344709224,8.0,0,0,0,0,0
1534344709226.0,8.0,219.2,0,0,0,0
1534344709926.0,8.0,0,122.0,0,0,0
1534344710224,8.0,0,0,0,0,0
1534344710926.0,8.0,0,751.0,0,0,0
1534344711224,8.0,0,0,0,0,0
1534344711226.0,8.0,108.0,0,0,0,0
1534344712224,8.0,0,0,0,0,0
1534344712226.0,8.5,111.0,0,0,0,0
1534344713224,9.0,0,0,0,0,0
1534344713226.0,9.0,220.3,0,0,0,0
1534344714224,9.0,0,0,0,0,0
1534344714226.0,9.0,114.0,0,0,0,0
1534344715224,9.0,0,0,0,0,0
1534344715226.0,9.0,121.9,0,0,0,0
1534344716224,9.0,0,0,0,0,0
1534344716226.0,9.333,107.0,0,0,0,0
1534344716926.0,9.667,0,237.0,0,0,0
1534344717224,10.0,0,0,0,0,0
1534344717226.0,10.0,458.0,0,0,0,0
1534344717926.0,10.0,0,670.0,0,0,0
1534344718224,10.0,0,0,0,0,0
1534344718226.0,10.0,108.0,0,0,0,0
1534344718926.0,10.0,0,428.0,0,0,0
1534344719224,10.0,0,0,0,0,0
1534344719226.0,10.0,499.9,0,0,0,0
1534344719926.0,10.0,0,236.0,0,0,0
1534344720224,10.0,0,0,0,0,0
1534344720226.0,10.5,226.95,0,0,0,0
1534344721224,11.0,0,0,0,0,0
1534344721226.0,11.0,228.0,0,0,0,0
1534344721926.0,11.0,0,839.0,0,0,0
1534344722224,11.0,0,0,0,0,0
1534344722226.0,11.0,221.4,0,0,0,0
1534344722926.0,11.0,0,658.85,0,0,0
1534344723224,11.0,0,0,0,0,0
1534344723226.0,11.0,108.0,0,0,0,0
1534344724224,11.0,0,0,0,0,0
1534344724226.0,11.333,115.0,0,0,0,0
1534344724926.0,11.667,0,650.0,0,0,0
1534344725224,12.0,0,0,0,0,0
1534344725226.0,12.0,228.0,0,0,0,0
1534344726224,12.0,0,0,0,0,0
1534344726226.0,12.0,117.4,0,0,0,0
1534344727224,12.0,0,0,0,0,0
1534344727226.0,12.0,113.65,0,0,0,0
1534344727926.0,12.0,0,231.25,0,0,0
1534344728224,12.0,0,0,0,0,0
1534344728226.0,12.333,114.2,0,0,0,0
1534344728926.0,12.667,0,1094.0,0,0,0
1534344729224,13.0,0,0,0,0,0
1534344729226.0,13.0,111.0,0,0,0,0
1534344729685.0,13.0,0,0,0,384.0,0
1534344729926.0,13.0,0,124.0,0,0,0
1534344730224,13.0,0,0,0,0,0
1534344730226.0,13.0,111.0,0,0,0,0
1534344731224,13.0,0,0,0,0,0
1534344732224,13.0,0,0,0,0,0
1534344732226.0,13.333,109.0,0,0,0,0
1534344732926.0,13.667,0,125.0,0,0,0
1534344733224,14.0,0,0,0,0,0
1534344733226.0,14.0,208.8,0,0,0,0
1534344733926.0,14.0,0,665.0,0,0,0
1534344734224,14.0,0,0,0,0,0
1534344734226.0,14.0,114.55,0,0,0,0
1534344734926.0,14.0,0,654.0,0,0,0
1534344735224,14.0,0,0,0,0,0
1534344735226.0,14.0,109.0,0,0,0,0
1534344735926.0,14.0,0,572.65,0,0,0
1534344735973.0,14.0,0,0,324.0,0,0
1534344736086.0,14.0,0,0,0,0,315.0
1534344736224,14.0,0,0,0,0,0
1534344736226.0,14.25,111.0,0,0,0,0
1534344736973.0,14.5,0,0,335.0,0,0
1534344737086.0,14.75,0,0,0,0,262.0
1534344737224,15.0,0,0,0,0,0
1534344737226.0,15.0,220.0,0,0,0,0
1534344738224,15.0,0,0,0,0,0
1534344738226.0,15.0,109.0,0,0,0,0
1534344739224,15.0,0,0,0,0,0
1534344739226.0,15.0,110.0,0,0,0,0
1534344739926.0,15.0,0,739.4,0,0,0
1534344740224,15.0,0,0,0,0,0
1534344740226.0,15.5,110.8,0,0,0,0
1534344741224,16.0,0,0,0,0,0
1534344741226.0,16.0,193.5,0,0,0,0
1534344741926.0,16.0,0,663.6,0,0,0
1534344742224,16.0,0,0,0,0,0
1534344742226.0,16.0,109.0,0,0,0,0
1534344742926.0,16.0,0,614.1,0,0,0
1534344743224,16.0,0,0,0,0,0
1534344743226.0,16.0,112.0,0,0,0,0
1534344744224,16.0,0,0,0,0,0
1534344745224,17.0,0,0,0,0,0
1534344745226.0,17.0,197.8,0,0,0,0
1534344745973.0,17.0,0,0,344.0,0,0
1534344746226.0,17.0,108.95,0,0,0,0
1534344746926.0,17.0,0,667.0,0,0,0
