LocalTime,Users,IDM_POST_Register,GET_Token_wCredentials,ACC_POST_Limits,WLT_POST_Creditcards,WLT_POST_Creditcards_$PayMethodId_Deposit
1534344682218,1.0,0,0,0,0,0
1534344682257.0,1.0,1184.0,0,0,0,0
1534344683218,1.0,0,0,0,0,0
1534344684218,1.0,0,0,0,0,0
1534344684456.0,1.0,0,548.0,0,0,0
1534344685218,1.0,0,0,0,0,0
1534344686004.0,1.0,0,0,646.0,0,0
1534344686218,1.0,0,0,0,0,0
1534344687218,1.0,0,0,0,0,0
1534344687663.0,1.0,0,0,0,504.0,0
1534344688218,1.0,0,0,0,0,0
1534344689152.0,1.0,0,0,0,0,2071.0
1534344689218,1.0,0,0,0,0,0
1534344690218,1.0,0,0,0,0,0
1534344691218,1.0,0,0,0,0,0
1534344692152.0,1.0,0,0,0,0,2198.0
1534344692218,1.0,0,0,0,0,0
1534344693218,1.0,0,0,0,0,0
1534344694218,1.0,0,0,0,0,0
1534344695152.0,1.0,0,0,0,0,2051.0
1534344695218,1.0,0,0,0,0,0
1534344696218,1.0,0,0,0,0,0
1534344697218,1.0,0,0,0,0,0
1534344698152.0,1.0,0,0,0,0,2015.0
1534344698218,1.0,0,0,0,0,0
1534344699218,1.0,0,0,0,0,0
1534344700218,1.0,0,0,0,0,0
1534344701152.0,1.0,0,0,0,0,2068.0
1534344701218,1.0,0,0,0,0,0
1534344702218,1.0,0,0,0,0,0
1534344703218,1.0,0,0,0,0,0
1534344704152.0,1.5,0,0,0,0,1449.0
1534344704218,2.0,0,0,0,0,0
1534344704257.0,2.0,1511.0,0,0,0,0
1534344705218,2.0,0,0,0,0,0
1534344706152.0,2.0,0,0,0,0,2038.0
1534344706218,2.0,0,0,0,0,0
1534344706456.0,2.0,0,469.0,0,0,0
1534344707218,2.0,0,0,0,0,0
1534344708004.0,2.0,0,0,421.0,0,0
1534344708218,2.0,0,0,0,0,0
1534344709152.0,2.0,0,0,0,0,1963.0
1534344709218,2.0,0,0,0,0,0
1534344709663.0,2.0,0,0,0,331.0,0
1534344710218,2.0,0,0,0,0,0
1534344711152.0,2.0,0,0,0,0,1835.0
1534344711218,2.0,0,0,0,0,0
1534344712152.0,2.0,0,0,0,0,1807.0
1534344712218,2.0,0,0,0,0,0
1534344713218,2.0,0,0,0,0,0
1534344714152.0,2.0,0,0,0,0,1815.0
1534344714218,2.0,0,0,0,0,0
1534344715218,2.0,0,0,0,0,0
1534344716152.0,2.0,0,0,0,0,2091.0
1534344716218,2.0,0,0,0,0,0
1534344717218,2.0,0,0,0,0,0
1534344718218,2.0,0,0,0,0,0
1534344719218,2.0,0,0,0,0,0
1534344720152.0,2.0,0,0,0,0,1826.0
1534344720218,2.0,0,0,0,0,0
1534344721218,2.0,0,0,0,0,0
1534344722152.0,2.0,0,0,0,0,1395.0
1534344722218,2.0,0,0,0,0,0
1534344723218,2.0,0,0,0,0,0
1534344724218,2.0,0,0,0,0,0
1534344725152.0,2.0,0,0,0,0,1856.0
1534344725218,2.0,0,0,0,0,0
1534344726218,2.0,0,0,0,0,0
1534344727218,3.0,0,0,0,0,0
1534344727257.0,3.0,875.0,0,0,0,0
1534344728152.0,3.0,0,0,0,0,1762.0
1534344729456.0,3.0,0,747.0,0,0,0
1534344730152.0,3.0,0,0,0,0,1413.0
1534344731004.0,3.0,0,0,415.0,0,0
1534344732663.0,3.0,0,0,0,338.0,0
1534344733152.0,3.0,0,0,0,0,1878.9
1534344736152.0,3.0,0,0,0,0,1408.0
1534344738152.0,3.0,0,0,0,0,1835.0
1534344741152.0,3.0,0,0,0,0,1858.0
1534344744152.0,3.0,0,0,0,0,1850.0
